time,vo2_ml_kg_min,vo2_ml_min,vco2_ml_min,rer,fat_pct,hr_bpm,ree_kcal_hr,fat_calories_kcal_hr
0:30,14.3,1219,1188,0.97,10.2,103,367,37.6
0:40,14.5,1236,1177,0.95,17.1,102,371,63.3
0:50,14.8,1262,1120,0.89,37.5,97,373,140.0
1:00,15.2,1294,1107,0.86,47.8,94,380,181.6
1:10,15.2,1295,1093,0.84,54.6,92,379,207.0
1:20,14.6,1246,1052,0.84,54.6,92,365,199.3
1:30,15.4,1314,1109,0.84,54.6,92,385,210.2
1:40,14.6,1249,1079,0.86,47.8,91,367,175.4
1:50,14.7,1252,1076,0.86,47.8,90,368,175.8
2:00,13.7,1165,1002,0.86,47.8,91,342,163.4
2:10,14.3,1216,1013,0.83,58.0,93,355,206.0
2:20,13.6,1162,977,0.84,54.6,92,340,185.7
2:30,14.1,1204,1024,0.85,51.2,92,353,180.7
2:40,14.6,1246,1067,0.86,47.8,92,366,174.9
2:50,16.3,1394,1194,0.86,47.8,97,409,195.4
3:00,17.5,1492,1276,0.86,47.8,102,438,209.3
3:10,18.1,1545,1299,0.84,54.6,107,452,246.8
3:20,19.9,1698,1377,0.81,64.8,109,493,319.7
3:30,21.1,1798,1446,0.80,68.3,110,521,355.6
3:40,22.0,1875,1541,0.82,61.4,109,546,335.4
3:50,21.8,1857,1557,0.84,54.6,109,543,296.5
4:00,20.8,1774,1473,0.83,58.0,110,518,300.5
4:10,22.5,1922,1511,0.79,71.7,112,555,397.8
4:20,23.6,2011,1551,0.77,78.5,113,579,454.5
4:30,25.1,2140,1616,0.76,81.9,113,613,502.1
4:40,24.3,2071,1571,0.76,81.9,113,594,486.6
4:50,24.9,2121,1619,0.76,81.9,113,609,498.8
5:00,26.1,2228,1706,0.77,78.5,114,640,502.4
5:10,27.2,2321,1777,0.77,78.5,115,667,523.6
5:20,27.0,2299,1741,0.76,81.9,116,659,539.8
5:30,27.2,2320,1769,0.76,81.9,117,666,545.5
5:40,28.4,2418,1841,0.76,81.9,118,694,568.5
5:50,28.6,2438,1868,0.77,78.5,120,701,550.3
6:00,29.6,2522,1930,0.77,78.5,122,725,569.1
6:10,29.9,2546,1967,0.77,78.5,123,733,575.4
6:20,30.7,2619,2042,0.78,75.1,124,755,566.9
6:30,31.3,2672,2096,0.78,75.1,124,771,578.9
6:40,32.1,2741,2163,0.79,71.7,125,792,567.6
6:50,33.3,2843,2261,0.80,68.3,127,823,561.8
7:00,33.6,2867,2264,0.79,71.7,129,829,594.2
7:10,34.1,2908,2314,0.80,68.3,130,842,574.7
7:20,33.0,2815,2239,0.80,68.3,131,815,556.3
7:30,34.7,2957,2342,0.79,71.7,132,855,612.8
7:40,35.7,3040,2392,0.79,71.7,133,878,629.3
7:50,38.2,3255,2552,0.78,75.1,134,940,705.8
8:00,38.7,3301,2645,0.80,68.3,136,956,652.6
8:10,38.9,3316,2692,0.81,64.8,138,963,624.5
8:20,39.7,3389,2802,0.83,58.0,140,988,573.2
8:30,39.3,3348,2790,0.83,58.0,142,977,566.9
8:40,39.6,3373,2787,0.83,58.0,143,983,570.3
8:50,37.9,3232,2616,0.81,64.8,144,938,608.3
9:00,40.8,3479,2779,0.80,68.3,145,1008,688.1
9:10,41.8,3561,2905,0.82,61.4,146,1035,635.8
9:20,44.2,3767,3140,0.83,58.0,148,1100,638.2
9:30,43.5,3707,3178,0.86,47.8,149,1088,519.9
9:40,44.8,3819,3321,0.87,44.4,151,1124,498.7
9:50,45.4,3872,3421,0.88,41.0,153,1143,468.1
10:00,45.7,3900,3475,0.89,37.5,155,1153,432.9
10:10,46.1,3935,3509,0.89,37.5,157,1164,437.0
10:20,47.1,4014,3591,0.89,37.5,158,1188,446.0
10:30,47.9,4085,3703,0.91,30.7,159,1212,372.3
